"10"	"20"	"30"	"40"	"50"	"60"	"70"	"80"	"90"	"100"	"110"	"120"
1	5	6	6	7	7	7	6	6	8	8	8
5	4	1	7	8	9	6	7	7	7	7	8
1	7	4	5	7	5	7	8	9	8	7	8
2	7	6	7	7	4	8	8	7	7	7	8
1	5	6	8	6	5	6	7	7	8	7	8
1	6	6	1	6	7	6	8	7	6	8	8
1	6	1	4	7	7	6	7	8	7	8	8
1	5	7	7	7	5	8	7	8	7	8	8
1	8	4	7	5	6	5	8	8	9	8	8
1	3	7	6	7	7	8	7	6	8	8	8
1	6	6	4	7	6	5	5	7	8	8	8
1	5	1	6	4	9	6	7	7	7	8	8
1	6	4	8	6	8	7	7	8	7	8	8
5	1	7	6	6	7	6	6	9	9	7	8
4	7	5	5	7	7	7	7	8	7	8	8
1	7	7	4	7	6	7	7	8	8	8	8
1	1	7	7	6	7	5	8	8	8	8	8
6	4	5	5	7	7	7	7	8	7	8	8
5	5	6	6	7	7	8	7	8	9	7	8
4	4	5	8	7	7	7	6	8	7	7	8
1	3	7	8	5	7	8	7	9	7	7	8
1	6	6	7	8	7	6	6	7	7	8	8
1	7	7	6	7	7	7	8	9	8	7	8
4	2	5	5	7	6	7	8	7	7	8	8
1	5	7	7	7	6	7	7	8	8	8	8
7	6	7	6	7	8	6	9	7	8	8	8
5	1	7	7	6	7	7	7	7	8	7	8
1	1	5	5	6	6	6	7	8	8	8	8
1	10	7	7	5	8	6	7	8	7	8	8
5	1	4	8	6	8	8	8	8	8	7	8
1	5	6	6	7	8	7	7	8	7	8	8
1	7	5	5	6	7	8	7	8	8	9	8
1	6	7	7	7	8	7	6	7	8	8	8
1	1	5	4	6	8	6	7	8	7	8	8
1	7	5	7	6	5	7	7	8	7	7	8
1	5	7	7	8	8	7	7	8	7	8	8
1	3	7	6	7	8	8	7	7	7	8	7
1	6	4	6	7	6	7	6	7	8	8	8
1	6	6	6	6	6	6	8	6	8	9	8
1	1	1	6	6	8	7	8	8	7	7	8
1	1	5	7	7	7	8	7	8	9	8	8
6	3	7	7	6	7	8	7	8	8	8	8
1	7	4	8	8	8	7	8	7	8	8	8
1	4	7	5	7	6	7	6	6	8	8	8
7	5	6	6	7	6	7	7	7	8	8	8
1	1	8	8	7	7	5	8	7	7	8	8
3	6	1	5	8	7	6	6	6	7	7	8
1	5	5	6	5	8	9	7	7	8	8	8
5	3	6	7	6	7	7	7	8	9	8	8
1	10	4	7	7	7	8	8	8	8	8	8
3	2	9	7	6	8	9	7	8	8	7	8
1	8	6	6	5	6	6	7	8	8	8	8
1	7	8	6	7	7	6	5	7	7	7	8
1	1	5	9	6	5	7	7	8	8	8	8
1	5	5	7	5	7	7	7	7	8	8	7
1	8	3	7	6	7	6	6	7	7	8	8
1	4	4	7	7	7	6	8	7	8	8	8
5	7	5	5	7	6	5	7	7	8	8	8
1	5	7	7	6	6	6	7	7	8	8	8
1	5	7	6	6	7	8	8	7	8	7	8
1	6	4	6	7	8	6	9	8	7	8	8
3	1	6	6	7	6	7	8	8	8	8	8
1	4	5	7	8	7	6	7	8	7	7	8
4	1	5	8	6	7	7	8	8	7	8	8
6	1	1	4	6	6	8	6	8	8	9	8
1	5	6	8	7	9	8	9	7	8	9	8
5	7	7	7	6	7	6	8	8	7	8	8
1	5	1	4	5	6	9	8	8	8	7	8
5	7	7	7	5	6	7	7	8	7	8	8
1	3	7	4	5	6	7	8	7	7	8	8
5	3	6	8	9	7	7	7	8	8	7	8
1	6	6	6	8	7	6	8	8	8	8	8
1	3	5	8	7	6	8	7	8	7	8	8
5	5	5	5	6	5	7	7	7	8	7	8
1	5	6	7	6	8	7	8	7	8	7	8
2	7	7	4	6	6	8	7	7	6	8	8
1	5	6	8	5	7	7	6	8	8	8	8
1	7	7	8	5	7	8	7	8	8	8	8
4	5	1	6	6	8	6	7	7	8	7	8
1	1	1	7	6	7	7	8	8	7	7	8
4	5	7	4	5	8	7	7	7	8	7	8
1	4	5	7	7	7	8	7	8	7	7	8
2	4	1	6	6	7	7	10	7	8	8	8
1	1	5	7	7	7	5	7	7	8	7	8
4	7	7	6	7	6	7	7	7	7	8	7
3	5	4	8	6	6	7	6	7	8	7	8
4	1	6	5	6	6	7	7	7	8	8	8
1	5	7	8	6	7	6	8	6	8	7	8
1	4	6	1	7	7	6	7	8	7	7	8
1	5	7	5	7	8	7	8	8	8	8	8
6	5	6	5	8	6	6	7	7	8	8	8
1	1	5	8	7	8	6	7	7	8	8	8
1	6	5	1	5	5	6	9	7	7	8	8
6	6	5	9	5	7	9	7	8	8	8	8
1	7	5	4	6	6	5	8	8	7	8	8
1	7	5	4	8	8	6	7	8	7	8	8
1	5	5	7	7	6	6	8	7	9	8	8
3	3	6	8	8	8	6	6	7	8	8	8
5	7	8	8	8	6	7	7	8	8	8	8
4	1	7	4	8	6	7	6	8	6	8	8
